pdb_id,chain,protein,is_actin
9qfj,9qfj_A,"Actin, cytoplasmic 1, N-terminally processed",True
9qfj,9qfj_C,"Actin, cytoplasmic 1, N-terminally processed",True
9qfj,9qfj_F,Cofilin-1,False
9qfj,9qfj_B,"Actin, cytoplasmic 1, N-terminally processed",True
9qfj,9qfj_H,Cofilin-1,False
9qfj,9qfj_D,"Actin, cytoplasmic 1, N-terminally processed",True
9qfj,9qfj_I,Cofilin-1,False
9qfj,9qfj_E,"Actin, cytoplasmic 1, N-terminally processed",True
9qfj,9qfj_J,Cofilin-1,False
8dmx,8dmx_A,"Actin, alpha skeletal muscle",True
8dmx,8dmx_B,"Actin, alpha skeletal muscle",True
8dmx,8dmx_C,"Actin, alpha skeletal muscle",True
8dmx,8dmx_D,"Actin, alpha skeletal muscle",True
9y9p,9y9p_A,"Actin, alpha skeletal muscle",True
9y9p,9y9p_B,"Actin, alpha skeletal muscle",True
9y9p,9y9p_C,"Actin, alpha skeletal muscle",True
9y9p,9y9p_a,Cofilin-2,False
9y9p,9y9p_D,"Actin, alpha skeletal muscle",True
9y9p,9y9p_b,Cofilin-2,False
9y9p,9y9p_E,"Actin, alpha skeletal muscle",True
9y9p,9y9p_c,Cofilin-2,False
9y9p,9y9p_d,Cofilin-2,False
9y9p,9y9p_e,Cofilin-2,False
8d15,8d15_A,"Actin, alpha skeletal muscle",True
8d15,8d15_B,"Actin, alpha skeletal muscle",True
8d15,8d15_C,"Actin, alpha skeletal muscle",True
8d15,8d15_D,"Actin, alpha skeletal muscle",True
8d15,8d15_E,"Actin, alpha skeletal muscle",True
8d15,8d15_F,"Actin, alpha skeletal muscle",True
8d15,8d15_G,"Actin, alpha skeletal muscle",True
6tu4,6tu4_A,Actin-1,True
6tu4,6tu4_B,Actin-1,True
6tu4,6tu4_C,Actin-1,True
6tu4,6tu4_D,Actin-1,True
6tu4,6tu4_F,Actin-1,True
9qfg,9qfg_H,Cofilin-1,False
9qfg,9qfg_A,"Actin, cytoplasmic 1, N-terminally processed",True
9qfg,9qfg_I,Cofilin-1,False
9qfg,9qfg_C,"Actin, cytoplasmic 1, N-terminally processed",True
9qfg,9qfg_L,"Coronin-1B,Methylated-DNA--protein-cysteine methyltransferase",False
9qfg,9qfg_B,"Actin, cytoplasmic 1, N-terminally processed",True
9qfg,9qfg_M,"Coronin-1B,Methylated-DNA--protein-cysteine methyltransferase",False
9qfg,9qfg_D,"Actin, cytoplasmic 1, N-terminally processed",True
9qfg,9qfg_E,"Actin, cytoplasmic 1, N-terminally processed",True
9qfg,9qfg_N,"Coronin-1B,Methylated-DNA--protein-cysteine methyltransferase",False
9qfg,9qfg_F,"Actin, cytoplasmic 1, N-terminally processed",True
9qfg,9qfg_G,"Actin, cytoplasmic 1, N-terminally processed",True
9qfg,9qfg_J,"Coronin-1B,Methylated-DNA--protein-cysteine methyltransferase",False
9qfg,9qfg_K,"Coronin-1B,Methylated-DNA--protein-cysteine methyltransferase",False
8e9b,8e9b_A,Actin-related protein 3,False
8e9b,8e9b_B,Actin-related protein 2,False
8e9b,8e9b_D,Actin-related protein 2/3 complex subunit 2,False
8e9b,8e9b_E,Actin-related protein 2/3 complex subunit 3,False
8e9b,8e9b_F,Actin-related protein 2/3 complex subunit 4,False
8e9b,8e9b_O,"Actin, alpha skeletal muscle",True
8e9b,8e9b_P,"Actin, alpha skeletal muscle",True
8e9b,8e9b_H,"Actin, alpha skeletal muscle",True
8e9b,8e9b_C,Actin-related protein 2/3 complex subunit 1,False
8e9b,8e9b_G,Actin-related protein 2/3 complex subunit 5,False
8e9b,8e9b_I,"Actin, alpha skeletal muscle",True
8e9b,8e9b_Q,"Actin, alpha skeletal muscle",True
8e9b,8e9b_R,"Actin, alpha skeletal muscle",True
8e9b,8e9b_M,"Actin, alpha skeletal muscle",True
8e9b,8e9b_N,"Actin, alpha skeletal muscle",True
8v2o,8v2o_A,"Actin, gamma-enteric smooth muscle",True
8v2o,8v2o_B,"Actin, gamma-enteric smooth muscle",True
8v2o,8v2o_C,"Actin, gamma-enteric smooth muscle",True
8v2o,8v2o_D,"Actin, gamma-enteric smooth muscle",True
8v2o,8v2o_E,"Actin, gamma-enteric smooth muscle",True
9y9m,9y9m_A,"Actin, alpha skeletal muscle",True
9y9m,9y9m_B,"Actin, alpha skeletal muscle",True
9y9m,9y9m_C,"Actin, alpha skeletal muscle",True
9y9m,9y9m_a,Cofilin-2,False
9y9m,9y9m_D,"Actin, alpha skeletal muscle",True
9y9m,9y9m_b,Cofilin-2,False
9y9m,9y9m_E,"Actin, alpha skeletal muscle",True
9y9m,9y9m_c,Cofilin-2,False
9y9m,9y9m_Y,F-actin-capping protein subunit alpha-1,False
9y9m,9y9m_Z,F-actin-capping protein subunit beta,False
6tu7,6tu7_AP1,Myosin-A,False
6tu7,6tu7_CP1,Actin-1,True
6tu7,6tu7_EP1,Actin-1,True
6tu7,6tu7_BP1,Actin-1,True
6tu7,6tu7_DP1,Actin-1,True
6tu7,6tu7_GP1,Myosin-A,False
9y9l,9y9l_A,"Actin, alpha skeletal muscle",True
9y9l,9y9l_B,"Actin, alpha skeletal muscle",True
9y9l,9y9l_C,"Actin, alpha skeletal muscle",True
9y9l,9y9l_a,Cofilin-2,False
9y9l,9y9l_D,"Actin, alpha skeletal muscle",True
9y9l,9y9l_b,Cofilin-2,False
9y9l,9y9l_E,"Actin, alpha skeletal muscle",True
9y9l,9y9l_c,Cofilin-2,False
9y9l,9y9l_Y,F-actin-capping protein subunit alpha-1,False
9y9l,9y9l_d,Cofilin-2,False
9y9l,9y9l_Z,F-actin-capping protein subunit beta,False
9zbp,9zbp_A,"Actin, alpha cardiac muscle 1",True
9zbp,9zbp_B,"Actin, alpha cardiac muscle 1",True
9zbp,9zbp_C,"Actin, alpha cardiac muscle 1",True
9zbp,9zbp_D,"Actin, alpha cardiac muscle 1",True
9zbp,9zbp_E,"Actin, alpha cardiac muscle 1",True
9zbp,9zbp_F,"Actin, alpha cardiac muscle 1",True
9zbp,9zbp_M,Tropomyosin alpha-1 chain,False
9zbp,9zbp_N,Tropomyosin alpha-1 chain,False
9zbp,9zbp_O,Tropomyosin alpha-1 chain,False
9zbp,9zbp_P,Tropomyosin alpha-1 chain,False
9qfe,9qfe_A,"Actin, cytoplasmic 1, N-terminally processed",True
9qfe,9qfe_B,"Actin, cytoplasmic 1, N-terminally processed",True
9qfe,9qfe_C,"Actin, cytoplasmic 1, N-terminally processed",True
9qfe,9qfe_H,Cofilin-1,False
9qfe,9qfe_I,Cofilin-1,False
9qfe,9qfe_L,"Coronin-1B,Methylated-DNA--protein-cysteine methyltransferase",False
9qfe,9qfe_D,"Actin, cytoplasmic 1, N-terminally processed",True
9qfe,9qfe_M,"Coronin-1B,Methylated-DNA--protein-cysteine methyltransferase",False
9qfe,9qfe_E,"Actin, cytoplasmic 1, N-terminally processed",True
9qfe,9qfe_J,Cofilin-1,False
9qfe,9qfe_F,"Actin, cytoplasmic 1, N-terminally processed",True
9qfe,9qfe_N,"Coronin-1B,Methylated-DNA--protein-cysteine methyltransferase",False
9qfe,9qfe_G,"Actin, cytoplasmic 1, N-terminally processed",True
9qfe,9qfe_K,Cofilin-1,False
7aln,7aln_A,Actin-1,True
7aln,7aln_B,Actin-1,True
7aln,7aln_C,Actin-1,True
7aln,7aln_D,Actin-1,True
7aln,7aln_E,Actin-1,True
7aln,7aln_F,Myosin-A,False
8a2z,8a2z_C,"Actin, alpha skeletal muscle",True
8a2z,8a2z_A,"Actin, alpha skeletal muscle",True
8a2z,8a2z_B,"Actin, alpha skeletal muscle",True
8a2z,8a2z_D,"Actin, alpha skeletal muscle",True
8a2z,8a2z_E,"Actin, alpha skeletal muscle",True
9y9j,9y9j_A,"Actin, alpha skeletal muscle",True
9y9j,9y9j_B,"Actin, alpha skeletal muscle",True
9y9j,9y9j_C,"Actin, alpha skeletal muscle",True
9y9j,9y9j_W,Adenylyl cyclase-associated protein 1,False
9y9j,9y9j_X,Adenylyl cyclase-associated protein 1,False
9y9j,9y9j_a,Cofilin-2,False
9y9j,9y9j_D,"Actin, alpha skeletal muscle",True
9y9j,9y9j_b,Cofilin-2,False
9y9j,9y9j_E,"Actin, alpha skeletal muscle",True
9y9j,9y9j_c,Cofilin-2,False
9y9j,9y9j_d,Cofilin-2,False
9y9j,9y9j_e,Cofilin-2,False
7r94,7r94_C,"Actin, alpha skeletal muscle",True
7r94,7r94_B,"Actin, alpha skeletal muscle",True
7r94,7r94_A,"Actin, alpha skeletal muscle",True
7r94,7r94_D,"Actin, alpha skeletal muscle",True
7r94,7r94_E,"Actin, alpha skeletal muscle",True
7r94,7r94_F,Plastin-3,False
7r94,7r94_G,Plastin-3,False
7r94,7r94_H,Plastin-3,False
8a2y,8a2y_C,"Actin, alpha skeletal muscle",True
8a2y,8a2y_A,"Actin, alpha skeletal muscle",True
8a2y,8a2y_B,"Actin, alpha skeletal muscle",True
8a2y,8a2y_D,"Actin, alpha skeletal muscle",True
8a2y,8a2y_E,"Actin, alpha skeletal muscle",True
9qfd,9qfd_A,"Actin, cytoplasmic 1, N-terminally processed",True
9qfd,9qfd_B,"Actin, cytoplasmic 1, N-terminally processed",True
9qfd,9qfd_C,"Actin, cytoplasmic 1, N-terminally processed",True
9qfd,9qfd_H,Cofilin-1,False
9qfd,9qfd_J,Cofilin-1,False
9qfd,9qfd_D,"Actin, cytoplasmic 1, N-terminally processed",True
9qfd,9qfd_I,Cofilin-1,False
9qfd,9qfd_K,Cofilin-1,False
9qfd,9qfd_E,"Actin, cytoplasmic 1, N-terminally processed",True
9qfd,9qfd_L,Cofilin-1,False
9qfd,9qfd_F,"Actin, cytoplasmic 1, N-terminally processed",True
9qfd,9qfd_M,Cofilin-1,False
9qfd,9qfd_G,"Actin, cytoplasmic 1, N-terminally processed",True
9qfd,9qfd_N,Cofilin-1,False
9yim,9yim_A,"Actin, alpha skeletal muscle",True
9yim,9yim_B,"Actin, alpha skeletal muscle",True
9yim,9yim_C,"Actin, alpha skeletal muscle",True
9yim,9yim_D,"Actin, alpha skeletal muscle",True
9yim,9yim_E,"Actin, alpha skeletal muscle",True
9yim,9yim_Y,F-actin-capping protein subunit alpha-1,False
9yim,9yim_Z,F-actin-capping protein subunit beta,False
9y52,9y52_A,"Actin, alpha skeletal muscle",True
9y52,9y52_B,"Actin, alpha skeletal muscle",True
9y52,9y52_C,"Actin, alpha skeletal muscle",True
9y52,9y52_W,Adenylyl cyclase-associated protein 1,False
9y52,9y52_a,Cofilin-2,False
9y52,9y52_D,"Actin, alpha skeletal muscle",True
9y52,9y52_b,Cofilin-2,False
9y52,9y52_E,"Actin, alpha skeletal muscle",True
9y52,9y52_c,Cofilin-2,False
9y52,9y52_d,Cofilin-2,False
9y52,9y52_e,Cofilin-2,False
7z7i,7z7i_D,"Actin, alpha skeletal muscle",True
7z7i,7z7i_B,"Actin, alpha skeletal muscle",True
7z7i,7z7i_E,"Actin, alpha skeletal muscle",True
7z7i,7z7i_C,"Actin, alpha skeletal muscle",True
7z7i,7z7i_A,"Actin, alpha skeletal muscle",True
8a2u,8a2u_C,"Actin, alpha skeletal muscle",True
8a2u,8a2u_A,"Actin, alpha skeletal muscle",True
8a2u,8a2u_B,"Actin, alpha skeletal muscle",True
8a2u,8a2u_D,"Actin, alpha skeletal muscle",True
8a2u,8a2u_E,"Actin, alpha skeletal muscle",True
8w36,8w36_D,"Actin, alpha skeletal muscle",True
8w36,8w36_C,"Actin, alpha skeletal muscle",True
8w36,8w36_B,"Actin, alpha skeletal muscle",True
8w36,8w36_E,"Actin, alpha skeletal muscle",True
8w36,8w36_A,"Actin, alpha skeletal muscle",True
8cco,8cco_A,Actin-2,True
8cco,8cco_B,Actin-2,True
8cco,8cco_C,Actin-2,True
8cco,8cco_D,Actin-2,True
8cco,8cco_E,Actin-2,True
8cco,8cco_F,Actin-2,True
9qfb,9qfb_A,"Actin, cytoplasmic 1, N-terminally processed",True
9qfb,9qfb_B,"Actin, cytoplasmic 1, N-terminally processed",True
9qfb,9qfb_C,"Actin, cytoplasmic 1, N-terminally processed",True
9qfb,9qfb_H,"Coronin-1B,Methylated-DNA--protein-cysteine methyltransferase",False
9qfb,9qfb_I,"Coronin-1B,Methylated-DNA--protein-cysteine methyltransferase",False
9qfb,9qfb_J,"Coronin-1B,Methylated-DNA--protein-cysteine methyltransferase",False
9qfb,9qfb_D,"Actin, cytoplasmic 1, N-terminally processed",True
9qfb,9qfb_K,"Coronin-1B,Methylated-DNA--protein-cysteine methyltransferase",False
9qfb,9qfb_E,"Actin, cytoplasmic 1, N-terminally processed",True
9qfb,9qfb_L,"Coronin-1B,Methylated-DNA--protein-cysteine methyltransferase",False
9qfb,9qfb_F,"Actin, cytoplasmic 1, N-terminally processed",True
9qfb,9qfb_M,"Coronin-1B,Methylated-DNA--protein-cysteine methyltransferase",False
9qfb,9qfb_G,"Actin, cytoplasmic 1, N-terminally processed",True
9qfb,9qfb_N,"Coronin-1B,Methylated-DNA--protein-cysteine methyltransferase",False
9xye,9xye_A,"Actin, alpha skeletal muscle",True
9xye,9xye_B,"Actin, alpha skeletal muscle",True
9xye,9xye_C,"Actin, alpha skeletal muscle",True
9xye,9xye_W,Adenylyl cyclase-associated protein 1,False
9xye,9xye_X,Adenylyl cyclase-associated protein 1,False
9xye,9xye_D,"Actin, alpha skeletal muscle",True
9xye,9xye_E,"Actin, alpha skeletal muscle",True
7z7h,7z7h_D,"Actin, alpha skeletal muscle",True
7z7h,7z7h_F,"Maltose/maltodextrin-binding periplasmic protein,TccC3",False
7z7h,7z7h_B,"Actin, alpha skeletal muscle",True
7z7h,7z7h_E,"Actin, alpha skeletal muscle",True
7z7h,7z7h_C,"Actin, alpha skeletal muscle",True
7z7h,7z7h_A,"Actin, alpha skeletal muscle",True
8a2t,8a2t_C,"Actin, alpha skeletal muscle",True
8a2t,8a2t_A,"Actin, alpha skeletal muscle",True
8a2t,8a2t_B,"Actin, alpha skeletal muscle",True
8a2t,8a2t_D,"Actin, alpha skeletal muscle",True
8a2t,8a2t_E,"Actin, alpha skeletal muscle",True
8zix,8zix_P,"Actin, alpha skeletal muscle",True
8zix,8zix_R,"Actin, alpha skeletal muscle",True
8zix,8zix_A,"Actin, alpha skeletal muscle",True
8zix,8zix_E,"Actin, alpha skeletal muscle",True
8zix,8zix_B,"Actin, alpha skeletal muscle",True
8zix,8zix_F,"Actin, alpha skeletal muscle",True
8ccn,8ccn_A,Actin-2,True
8ccn,8ccn_B,Actin-2,True
8ccn,8ccn_C,Actin-2,True
8ccn,8ccn_D,Actin-2,True
8ccn,8ccn_E,Actin-2,True
8ccn,8ccn_F,Actin-2,True
9q7o,9q7o_A,"Actin, alpha skeletal muscle",True
9q7o,9q7o_B,"Actin, alpha skeletal muscle",True
9q7o,9q7o_C,"Actin, alpha skeletal muscle",True
9q7o,9q7o_W,Adenylyl cyclase-associated protein 1,False
9q7o,9q7o_D,"Actin, alpha skeletal muscle",True
9q7o,9q7o_E,"Actin, alpha skeletal muscle",True
7tpt,7tpt_A,Actin-related protein 3,False
7tpt,7tpt_B,Actin-related protein 2,False
7tpt,7tpt_D,Actin-related protein 2/3 complex subunit 2,False
7tpt,7tpt_E,Actin-related protein 2/3 complex subunit 3,False
7tpt,7tpt_F,Actin-related protein 2/3 complex subunit 4,False
7tpt,7tpt_H,"Actin, alpha skeletal muscle",True
7tpt,7tpt_P,"Actin, alpha skeletal muscle",True
7tpt,7tpt_Q,"Actin, alpha skeletal muscle",True
7tpt,7tpt_R,"Actin, alpha skeletal muscle",True
7tpt,7tpt_C,Actin-related protein 2/3 complex subunit 1B,False
7tpt,7tpt_G,Actin-related protein 2/3 complex subunit 5,False
7tpt,7tpt_I,"Actin, alpha skeletal muscle",True
7tpt,7tpt_S,"Actin, alpha skeletal muscle",True
7tpt,7tpt_N,"Actin, alpha skeletal muscle",True
7tpt,7tpt_J,"Actin, alpha skeletal muscle",True
7tpt,7tpt_K,"Actin, alpha skeletal muscle",True
7tpt,7tpt_L,"Actin, alpha skeletal muscle",True
7tpt,7tpt_M,"Actin, alpha skeletal muscle",True
7tpt,7tpt_O,"Actin, alpha skeletal muscle",True
7tpt,7tpt_T,"Actin, alpha skeletal muscle",True
7tpt,7tpt_U,"Actin, alpha skeletal muscle",True
9qf2,9qf2_C,"Actin, cytoplasmic 1, N-terminally processed",True
9qf2,9qf2_H,"Coronin-1B,Methylated-DNA--protein-cysteine methyltransferase",False
9qf2,9qf2_A,"Actin, cytoplasmic 1, N-terminally processed",True
9qf2,9qf2_B,"Actin, cytoplasmic 1, N-terminally processed",True
9qf2,9qf2_D,"Actin, cytoplasmic 1, N-terminally processed",True
9qf2,9qf2_E,"Actin, cytoplasmic 1, N-terminally processed",True
9qf2,9qf2_G,"Coronin-1B,Methylated-DNA--protein-cysteine methyltransferase",False
9qf2,9qf2_I,"Coronin-1B,Methylated-DNA--protein-cysteine methyltransferase",False
9qf2,9qf2_J,"Coronin-1B,Methylated-DNA--protein-cysteine methyltransferase",False
9qf2,9qf2_F,"Coronin-1B,Methylated-DNA--protein-cysteine methyltransferase",False
8a2s,8a2s_C,"Actin, alpha skeletal muscle",True
8a2s,8a2s_A,"Actin, alpha skeletal muscle",True
8a2s,8a2s_B,"Actin, alpha skeletal muscle",True
8a2s,8a2s_D,"Actin, alpha skeletal muscle",True
8a2s,8a2s_E,"Actin, alpha skeletal muscle",True
8zbm,8zbm_E,"Actin, alpha skeletal muscle",True
8zbm,8zbm_H,"Actin, alpha skeletal muscle",True
8zbm,8zbm_O,"Actin, alpha skeletal muscle",True
8zbm,8zbm_Q,"Actin, alpha skeletal muscle",True
8zbm,8zbm_A,Myosin heavy chain 4,False
8zbm,8zbm_D,Myosin heavy chain 4,False
8zbm,8zbm_G,Tropomyosin beta chain,False
8zbm,8zbm_P,"Actin, alpha skeletal muscle",True
8zbm,8zbm_R,"Actin, alpha skeletal muscle",True
8zbm,8zbm_B,Tropomyosin beta chain,False
8zbm,8zbm_J,Myosin heavy chain 4,False
8zbm,8zbm_F,Tropomyosin beta chain,False
8zbm,8zbm_L,Myosin heavy chain 4,False
8zbm,8zbm_C,Tropomyosin beta chain,False
8zbm,8zbm_K,Myosin heavy chain 4,False
8zbm,8zbm_N,Myosin heavy chain 4,False
9q7n,9q7n_A,"Actin, alpha skeletal muscle",True
9q7n,9q7n_B,"Actin, alpha skeletal muscle",True
9q7n,9q7n_C,"Actin, alpha skeletal muscle",True
9q7n,9q7n_a,Cofilin-2,False
9q7n,9q7n_D,"Actin, alpha skeletal muscle",True
9q7n,9q7n_b,Cofilin-2,False
9q7n,9q7n_E,"Actin, alpha skeletal muscle",True
9q7n,9q7n_c,Cofilin-2,False
9q7n,9q7n_d,Cofilin-2,False
9q7n,9q7n_e,Cofilin-2,False
9qey,9qey_A,"Actin, cytoplasmic 1, N-terminally processed",True
9qey,9qey_B,"Actin, cytoplasmic 1, N-terminally processed",True
9qey,9qey_C,"Actin, cytoplasmic 1, N-terminally processed",True
9qey,9qey_H,"Coronin-1B,Methylated-DNA--protein-cysteine methyltransferase",False
9qey,9qey_D,"Actin, cytoplasmic 1, N-terminally processed",True
9qey,9qey_E,"Actin, cytoplasmic 1, N-terminally processed",True
8a2r,8a2r_C,"Actin, alpha skeletal muscle",True
8a2r,8a2r_A,"Actin, alpha skeletal muscle",True
8a2r,8a2r_B,"Actin, alpha skeletal muscle",True
8a2r,8a2r_D,"Actin, alpha skeletal muscle",True
8a2r,8a2r_E,"Actin, alpha skeletal muscle",True
7q8s,7q8s_A,Actin,True
7q8s,7q8s_B,ADF/Cofilin,False
7q8s,7q8s_C,Actin,True
7q8s,7q8s_G,ADF/Cofilin,False
7q8s,7q8s_D,Actin,True
7q8s,7q8s_E,Actin,True
7q8s,7q8s_F,Actin,True
7q8s,7q8s_H,ADF/Cofilin,False
7q8s,7q8s_I,ADF/Cofilin,False
7q8s,7q8s_J,ADF/Cofilin,False
9q7m,9q7m_A,"Actin, alpha skeletal muscle",True
9q7m,9q7m_B,"Actin, alpha skeletal muscle",True
9q7m,9q7m_C,"Actin, alpha skeletal muscle",True
9q7m,9q7m_a,Cofilin-2,False
9q7m,9q7m_D,"Actin, alpha skeletal muscle",True
9q7m,9q7m_b,Cofilin-2,False
9q7m,9q7m_E,"Actin, alpha skeletal muscle",True
9q7m,9q7m_c,Cofilin-2,False
9q7m,9q7m_d,Cofilin-2,False
9duv,9duv_A,"Actin, alpha skeletal muscle",True
9duv,9duv_B,"Actin, alpha skeletal muscle",True
9duv,9duv_C,"Actin, alpha skeletal muscle",True
9duv,9duv_D,"Actin, alpha skeletal muscle",True
9duv,9duv_E,"Actin, alpha skeletal muscle",True
9duv,9duv_F,"Actin, alpha skeletal muscle",True
9qew,9qew_C,"Actin, cytoplasmic 1, N-terminally processed",True
9qew,9qew_A,"Actin, cytoplasmic 1, N-terminally processed",True
9qew,9qew_B,"Actin, cytoplasmic 1, N-terminally processed",True
9qew,9qew_D,"Actin, cytoplasmic 1, N-terminally processed",True
9qew,9qew_E,"Actin, cytoplasmic 1, N-terminally processed",True
7q8c,7q8c_A,Actin,True
7q8c,7q8c_B,Actin,True
7q8c,7q8c_C,Actin,True
7q8c,7q8c_D,Actin,True
7q8c,7q8c_E,Actin,True
6djm,6djm_A,"Actin, alpha skeletal muscle",True
6djm,6djm_B,"Actin, alpha skeletal muscle",True
6djm,6djm_C,"Actin, alpha skeletal muscle",True
6djm,6djm_D,"Actin, alpha skeletal muscle",True
9q7l,9q7l_A,"Actin, alpha skeletal muscle",True
9q7l,9q7l_B,"Actin, alpha skeletal muscle",True
9q7l,9q7l_C,"Actin, alpha skeletal muscle",True
9q7l,9q7l_a,Cofilin-2,False
9q7l,9q7l_D,"Actin, alpha skeletal muscle",True
9q7l,9q7l_b,Cofilin-2,False
9q7l,9q7l_E,"Actin, alpha skeletal muscle",True
9q7l,9q7l_c,Cofilin-2,False
9b3d,9b3d_A,"Actin, alpha skeletal muscle",True
9b3d,9b3d_B,"Actin, alpha skeletal muscle",True
9b3d,9b3d_C,"Actin, alpha skeletal muscle",True
9b3d,9b3d_D,"Actin, alpha skeletal muscle",True
9b3d,9b3d_H,Protein diaphanous homolog 1,False
9b3d,9b3d_E,"Actin, alpha skeletal muscle",True
9b3d,9b3d_G,Protein diaphanous homolog 1,False
9b3d,9b3d_F,"Actin, alpha skeletal muscle",True
7q8b,7q8b_A,Actin,True
7q8b,7q8b_B,Actin,True
7q8b,7q8b_C,Actin,True
7q8b,7q8b_D,Actin,True
7q8b,7q8b_E,Actin,True
6djn,6djn_A,"Actin, alpha skeletal muscle",True
6djn,6djn_B,"Actin, alpha skeletal muscle",True
6djn,6djn_C,"Actin, alpha skeletal muscle",True
6djn,6djn_D,"Actin, alpha skeletal muscle",True
9q7k,9q7k_A,"Actin, alpha skeletal muscle",True
9q7k,9q7k_B,"Actin, alpha skeletal muscle",True
9q7k,9q7k_C,"Actin, alpha skeletal muscle",True
9q7k,9q7k_a,Cofilin-2,False
9q7k,9q7k_D,"Actin, alpha skeletal muscle",True
9q7k,9q7k_b,Cofilin-2,False
9q7k,9q7k_E,"Actin, alpha skeletal muscle",True
9q7k,9q7k_c,Cofilin-2,False
9q7k,9q7k_d,Cofilin-2,False
9q7k,9q7k_e,Cofilin-2,False
9b27,9b27_A,"Actin, alpha skeletal muscle",True
9b27,9b27_B,"Actin, alpha skeletal muscle",True
9b27,9b27_C,"Actin, alpha skeletal muscle",True
9b27,9b27_D,"Actin, alpha skeletal muscle",True
9b27,9b27_E,"Actin, alpha skeletal muscle",True
9b27,9b27_F,"Actin, alpha skeletal muscle",True
9b27,9b27_G,Protein diaphanous homolog 1,False
9b27,9b27_H,Protein diaphanous homolog 1,False
6djo,6djo_A,"Actin, alpha skeletal muscle",True
6djo,6djo_B,"Actin, alpha skeletal muscle",True
6djo,6djo_C,"Actin, alpha skeletal muscle",True
6djo,6djo_D,"Actin, alpha skeletal muscle",True
9fjm,9fjm_A,"Actin, cytoplasmic 1, N-terminally processed",True
9fjm,9fjm_B,"Actin, cytoplasmic 1, N-terminally processed",True
9fjm,9fjm_C,"Actin, cytoplasmic 1, N-terminally processed",True
9fjm,9fjm_D,"Actin, cytoplasmic 1, N-terminally processed",True
7k20,7k20_A,"Actin, alpha skeletal muscle",True
7k20,7k20_B,"Actin, alpha skeletal muscle",True
7k20,7k20_C,"Actin, alpha skeletal muscle",True
7k20,7k20_D,"Actin, alpha skeletal muscle",True
9b0k,9b0k_A,"Actin, alpha skeletal muscle",True
9b0k,9b0k_B,"Actin, alpha skeletal muscle",True
9b0k,9b0k_C,"Actin, alpha skeletal muscle",True
9b0k,9b0k_H,Inverted formin-2,False
9b0k,9b0k_D,"Actin, alpha skeletal muscle",True
9b0k,9b0k_G,Inverted formin-2,False
9b0k,9b0k_E,"Actin, alpha skeletal muscle",True
9b0k,9b0k_F,"Actin, alpha skeletal muscle",True
7k21,7k21_A,"Actin, alpha skeletal muscle",True
7k21,7k21_B,"Actin, alpha skeletal muscle",True
7k21,7k21_C,"Actin, alpha skeletal muscle",True
7k21,7k21_D,"Actin, alpha skeletal muscle",True
9m64,9m64_A,Actin-related protein 3,False
9m64,9m64_B,Actin-related protein 2,False
9m64,9m64_D,Actin-related protein 2/3 complex subunit 2,False
9m64,9m64_E,Actin-related protein 2/3 complex subunit 3,False
9m64,9m64_F,Actin-related protein 2/3 complex subunit 4,False
9m64,9m64_I,"Actin, alpha skeletal muscle",True
9m64,9m64_h,NCK-interacting protein with SH3 domain,False
9m64,9m64_C,Actin-related protein 2/3 complex subunit 1B,False
9m64,9m64_G,Actin-related protein 2/3 complex subunit 5,False
9m64,9m64_J,"Actin, alpha skeletal muscle",True
9m64,9m64_H,NCK-interacting protein with SH3 domain,False
9m64,9m64_a,Actin-related protein 3,False
9m64,9m64_e,Actin-related protein 2/3 complex subunit 3,False
9m64,9m64_K,"Actin, alpha skeletal muscle",True
9m64,9m64_L,"Actin, alpha skeletal muscle",True
9m64,9m64_b,Actin-related protein 2,False
9m64,9m64_d,Actin-related protein 2/3 complex subunit 2,False
9m64,9m64_f,Actin-related protein 2/3 complex subunit 4,False
9m64,9m64_i,"Actin, alpha skeletal muscle",True
9m64,9m64_c,Actin-related protein 2/3 complex subunit 1B,False
9m64,9m64_g,Actin-related protein 2/3 complex subunit 5,False
9m64,9m64_j,"Actin, alpha skeletal muscle",True
9m64,9m64_k,"Actin, alpha skeletal muscle",True
9m64,9m64_l,"Actin, alpha skeletal muscle",True
9b03,9b03_A,"Actin, alpha skeletal muscle",True
9b03,9b03_B,"Actin, alpha skeletal muscle",True
9b03,9b03_C,"Actin, alpha skeletal muscle",True
9b03,9b03_H,Inverted formin-2,False
9b03,9b03_D,"Actin, alpha skeletal muscle",True
9b03,9b03_G,Inverted formin-2,False
9b03,9b03_E,"Actin, alpha skeletal muscle",True
9b03,9b03_F,"Actin, alpha skeletal muscle",True
6kll,6kll_A,"Actin, alpha skeletal muscle",True
6kll,6kll_B,"Actin, alpha skeletal muscle",True
6kll,6kll_C,"Actin, alpha skeletal muscle",True
6kll,6kll_D,"Actin, alpha skeletal muscle",True
8oid,8oid_C,ACTB protein (Fragment),True
8oid,8oid_A,ACTB protein (Fragment),True
8oid,8oid_B,ACTB protein (Fragment),True
8oid,8oid_D,ACTB protein (Fragment),True
8oid,8oid_E,ACTB protein (Fragment),True
6kln,6kln_A,"Actin, alpha skeletal muscle",True
6kln,6kln_B,"Actin, alpha skeletal muscle",True
6kln,6kln_C,"Actin, alpha skeletal muscle",True
6kln,6kln_D,"Actin, alpha skeletal muscle",True
9azq,9azq_A,"Actin, alpha skeletal muscle",True
