pdb_id,chain,protein,is_actin
8iah,8iah_N,Spectrin beta chain,False
8iah,8iah_O,Spectrin beta chain,False
8iah,8iah_P,Spectrin beta chain,False
8iah,8iah_6,Dematin actin binding protein,False
8iah,8iah_F,"Actin, cytoplasmic 1",True
8iah,8iah_G,"Actin, cytoplasmic 1",True
8iah,8iah_Q,Spectrin beta chain,False
8iah,8iah_R,Spectrin beta chain,False
8iah,8iah_7,Dematin actin binding protein,False
8iah,8iah_H,"Actin, cytoplasmic 1",True
8iah,8iah_8,"Spectrin alpha, erythrocytic 1",False
8iah,8iah_A,"Actin, cytoplasmic 1",True
8iah,8iah_B,"Actin, cytoplasmic 1",True
8iah,8iah_Y,Tropomodulin-1,False
8iah,8iah_Z,SH3 domain-binding glutamic acid-rich-like protein,False
8vaa,8vaa_A,"Actin, alpha skeletal muscle",True
8vaa,8vaa_B,"Actin, alpha skeletal muscle",True
8vaa,8vaa_C,"Actin, alpha skeletal muscle",True
8vaa,8vaa_K,F-actin-binding Coiled-Coil domain of LFAT1,False
8vaa,8vaa_D,"Actin, alpha skeletal muscle",True
8vaa,8vaa_L,F-actin-binding Coiled-Coil domain of LFAT1,False
8vaa,8vaa_E,"Actin, alpha skeletal muscle",True
8vaa,8vaa_M,F-actin-binding Coiled-Coil domain of LFAT1,False
8vaa,8vaa_F,"Actin, alpha skeletal muscle",True
8vaa,8vaa_N,F-actin-binding Coiled-Coil domain of LFAT1,False
8vaa,8vaa_G,"Actin, alpha skeletal muscle",True
8vaa,8vaa_O,F-actin-binding Coiled-Coil domain of LFAT1,False
8vaa,8vaa_H,"Actin, alpha skeletal muscle",True
8vaa,8vaa_P,F-actin-binding Coiled-Coil domain of LFAT1,False
8vaa,8vaa_I,"Actin, alpha skeletal muscle",True
8vaa,8vaa_Q,F-actin-binding Coiled-Coil domain of LFAT1,False
8vaa,8vaa_J,"Actin, alpha skeletal muscle",True
8vaa,8vaa_R,F-actin-binding Coiled-Coil domain of LFAT1,False
8vaa,8vaa_S,F-actin-binding Coiled-Coil domain of LFAT1,False
8vaa,8vaa_T,F-actin-binding Coiled-Coil domain of LFAT1,False
6vao,6vao_C,"Actin, alpha skeletal muscle",True
6vao,6vao_A,"Actin, alpha skeletal muscle",True
6vao,6vao_D,"Actin, alpha skeletal muscle",True
6vao,6vao_J,Cofilin-1,False
6vao,6vao_B,"Actin, alpha skeletal muscle",True
6vao,6vao_G,Cofilin-1,False
6vao,6vao_E,"Actin, alpha skeletal muscle",True
6vao,6vao_F,Cofilin-1,False
6vao,6vao_I,Cofilin-1,False
6vao,6vao_H,Cofilin-1,False
9hm9,9hm9_C,"Actin, alpha skeletal muscle",True
9hm9,9hm9_F,Inositol-trisphosphate 3-kinase A,False
9hm9,9hm9_A,"Actin, alpha skeletal muscle",True
9hm9,9hm9_E,"Actin, alpha skeletal muscle",True
9hm9,9hm9_B,"Actin, alpha skeletal muscle",True
9hm9,9hm9_D,"Actin, alpha skeletal muscle",True
8f8t,8f8t_A,"Actin, alpha skeletal muscle",True
8f8t,8f8t_B,"Actin, alpha skeletal muscle",True
8f8t,8f8t_C,"Actin, alpha skeletal muscle",True
8f8t,8f8t_T,Tropomodulin-1,False
8f8t,8f8t_D,"Actin, alpha skeletal muscle",True
8f8t,8f8t_E,"Actin, alpha skeletal muscle",True
8f8t,8f8t_F,"Actin, alpha skeletal muscle",True
8f8t,8f8t_G,"Actin, alpha skeletal muscle",True
6vau,6vau_E,"Actin, alpha skeletal muscle",True
6vau,6vau_A,"Actin, alpha skeletal muscle",True
6vau,6vau_B,"Actin, alpha skeletal muscle",True
6vau,6vau_D,"Actin, alpha skeletal muscle",True
6vau,6vau_C,"Actin, alpha skeletal muscle",True
9gob,9gob_C,"Actin, alpha skeletal muscle",True
9gob,9gob_F,Inositol-trisphosphate 3-kinase A,False
9gob,9gob_A,"Actin, alpha skeletal muscle",True
9gob,9gob_E,"Actin, alpha skeletal muscle",True
9gob,9gob_B,"Actin, alpha skeletal muscle",True
9gob,9gob_D,"Actin, alpha skeletal muscle",True
8ib2,8ib2_5,Dematin actin binding protein,False
8ib2,8ib2_D,"Actin, cytoplasmic 1, N-terminally processed",True
8ib2,8ib2_E,"Actin, cytoplasmic 1, N-terminally processed",True
8ib2,8ib2_B,"Actin, cytoplasmic 1, N-terminally processed",True
8ib2,8ib2_C,"Actin, cytoplasmic 1, N-terminally processed",True
8ib2,8ib2_F,"Actin, cytoplasmic 1, N-terminally processed",True
8f8s,8f8s_A,"Actin, alpha skeletal muscle",True
8f8s,8f8s_B,"Actin, alpha skeletal muscle",True
8f8s,8f8s_C,"Actin, alpha skeletal muscle",True
8f8s,8f8s_D,"Actin, alpha skeletal muscle",True
8f8s,8f8s_E,"Actin, alpha skeletal muscle",True
8f8s,8f8s_F,"Actin, alpha skeletal muscle",True
8f8s,8f8s_G,"Actin, alpha skeletal muscle",True
3tpq,3tpq_M,MAL,False
3tpq,3tpq_E,"Actin, alpha skeletal muscle",True
3tpq,3tpq_D,"Actin, alpha skeletal muscle",True
3tpq,3tpq_C,"Actin, alpha skeletal muscle",True
3tpq,3tpq_B,"Actin, alpha skeletal muscle",True
3tpq,3tpq_A,"Actin, alpha skeletal muscle",True
8ord,8ord_A,"Actin, alpha 1b, skeletal muscle",True
8ord,8ord_B,"Actin, alpha 1b, skeletal muscle",True
8ord,8ord_C,"Actin, alpha 1b, skeletal muscle",True
8ord,8ord_D,"Actin, alpha 1b, skeletal muscle",True
8ord,8ord_E,"Actin, alpha 1b, skeletal muscle",True
7ztc,7ztc_A,"actin, cytoplasmic 1",True
7ztc,7ztc_B,"actin, cytoplasmic 1",True
7ztc,7ztc_C,"actin, cytoplasmic 1",True
7ztc,7ztc_D,"actin, cytoplasmic 1",True
7ztc,7ztc_E,"actin, cytoplasmic 1",True
7ztc,7ztc_F,"actin, cytoplasmic 1",True
7ztc,7ztc_G,"actin, cytoplasmic 1",True
7ztc,7ztc_H,"actin, cytoplasmic 1",True
